anio,trimestre,provincia,velocidad_promedio,total_accesos
2023,3,La Rioja,107.721,87701
2023,3,Mendoza,103.92143243243243,298022
2023,3,Misiones,101.53291891891891,197135
2023,3,Neuquén,100.34665625,164273
2023,3,Río Negro,144.79983333333334,163485
2023,3,Salta,140.93288235294116,206233
2023,3,San Juan,69.61918518518517,103730
2023,3,San Luis,103.77564285714286,148916
2023,3,Santa Cruz,19.25322222222222,47987
2023,3,Santa Fe,136.09888235294116,900352
2023,3,Santiago Del Estero,103.86046428571429,121928
2023,3,Tierra Del Fuego,54.14059999999999,58730
2023,3,Tucumán,120.13876470588235,266557
2023,4,Buenos Aires,128.4550340909091,5011620
2023,4,Capital Federal,163.57105555555555,1474367
2023,4,Catamarca,131.05295652173913,74587
2023,4,Chaco,118.40406896551724,147386
2023,4,Chubut,91.91694285714286,170170
2023,4,Corrientes,118.59372413793103,159472
2023,4,Córdoba,110.58655555555555,1079302
2023,4,Entre Ríos,97.36976666666666,298637
2023,4,Formosa,89.60372,62002
2023,4,Jujuy,132.64544827586207,118020
2023,4,La Pampa,82.44391176470587,121326
2023,4,La Rioja,107.721,87721
2023,4,Mendoza,95.05656756756757,299351
2023,4,Misiones,101.53291891891891,200333
2023,4,Neuquén,100.34665625,164627
2023,4,Río Negro,142.26960465116278,168417
2023,4,Salta,165.47765714285714,204732
2023,4,San Juan,69.61918518518517,103210
2023,4,San Luis,134.67993103448276,154685
2023,4,Santa Cruz,55.315406249999995,87031
2023,4,Santa Fe,152.71236538461537,909501
2023,4,Santiago Del Estero,103.86046428571429,123230
2023,4,Tierra Del Fuego,54.14059999999999,61598
2023,4,Tucumán,122.52111764705882,266335
2024,1,Buenos Aires,129.78535443037975,5044557
2024,1,Capital Federal,165.90258490566038,1504711
2024,1,Catamarca,131.05295652173913,74933
2024,1,Chaco,118.40406896551724,155543
2024,1,Chubut,91.91694285714286,170676
2024,1,Corrientes,118.59372413793103,157894
2024,1,Córdoba,110.43258730158729,1082199
2024,1,Entre Ríos,97.36976666666666,296552
2024,1,Formosa,89.60372,62718
2024,1,Jujuy,132.64544827586207,118053
2024,1,La Pampa,84.57857575757575,122195
2024,1,La Rioja,107.721,87782
2024,1,Mendoza,95.05656756756757,302597
2024,1,Misiones,123.71872727272726,202556
2024,1,Neuquén,101.15915625,164246
2024,1,Río Negro,142.79983333333334,171019
2024,1,Salta,170.78582352941177,202861
2024,1,San Juan,69.61918518518517,106666
2024,1,San Luis,137.81135714285713,156090
2024,1,Santa Cruz,55.315406249999995,80208
2024,1,Santa Fe,149.09894444444444,918586
2024,1,Santiago Del Estero,103.86046428571429,124362
2024,1,Tierra Del Fuego,54.14059999999999,61554
2024,1,Tucumán,122.52111764705882,264595
2024,2,BUENOS AIRES,125.093975,4989380
2024,2,CABA,156.6135471698113,1463599
2024,2,CATAMARCA,121.17783333333334,75074
2024,2,CHACO,114.36248275862069,147092
2024,2,CHUBUT,107.46295,174223
2024,2,CORDOBA,118.34631746031747,1085774
